Prospect Name,RSS Feed,Data Source,Last Scrape Status,Last Scrape Timestamp,Country,Domain,Status,Existing newsletter?,Person,Date sent,Replied,Comments
The Nerd Stash,https://thenerdstash.com/feed,OG,success,2025-11-29 11:37:42,United States,thenerdstash.com,Sending,FALSE,Karen,,FALSE,
057info,-,N/A,-,,Croatia,057info.hr,No feed generated,FALSE,,,FALSE,
072info,https://072info.com/feed,OG,success,2025-11-29 12:03:32,Bosnia and Herzegovina,072info.com,Sending,FALSE,Karen,"Nov 27, 2025 ",FALSE,
天使志工銀行,-,N/A,-,,Taiwan,104.com.tw,No feed generated,FALSE,,,FALSE,
10 Minute School,-,N/A,-,,Bangladesh,10minuteschool.com,No feed generated,FALSE,,,FALSE,
10 Missions Media,-,N/A,-,,United States,10missions.com,No feed generated,FALSE,,,FALSE,
112Groningen,https://112groningen.nl/feed,OG,success,2025-11-29 12:03:46,Netherlands,112groningen.nl,Sending,FALSE,Later,,FALSE,
KCJJ,https://1630kcjj.com/feed,OG,success,2025-11-29 11:37:44,United States,1630kcjj.com,Sending,FALSE,Karen,,FALSE,
Kurier Szczecińsk,-,N/A,-,,Poland,24kurier.pl,No feed generated,FALSE,,,FALSE,
24 Live News,-,N/A,-,,Bangladesh,24livenewspaper.com,No feed generated,FALSE,,,FALSE,
28Hse,-,N/A,-,,Hong Kong,28hse.com,No feed generated,FALSE,,,FALSE,
360medical.ro,https://360medical.ro/rss,OG,success,2025-11-29 12:03:50,Romania,360medical.ro,Sending,FALSE,Karen,"Nov 27, 2025 ",FALSE,
3Point.dk,https://3point.dk/feed,OG,success,2025-11-29 12:03:54,Denmark,3point.dk,To Do,FALSE,,,FALSE,Newly discovered RSS feed
4malayalees.com,-,N/A,-,,India,4malayalees.com,No feed generated,FALSE,,,FALSE,
52Bangla TV,https://52banglatv.com/feed,OG,success,2025-11-29 12:03:58,Bangladesh,52banglatv.com,To Do,FALSE,Later,,FALSE,
7car 小七車觀點,-,N/A,-,,Taiwan,7car.tw,No feed generated,FALSE,,,FALSE,
A07 Online Media,https://a07online.com/rss.xml,OG,success,2025-11-29 11:37:46,United States,a07online.com,Parent org,FALSE,Karen,,FALSE,
ABC Gazetesi,https://abcgazetesi.com/rss,N/A,failed,2025-11-29 12:03:58,Turkey,abcgazetesi.com,No feed generated,FALSE,Later,,FALSE,
ABC News,-,N/A,-,,United States,abcnews.go.com,No feed generated,FALSE,,,FALSE,
ABC Online Media,https://abconlinemedia.com/feed,OG,success,2025-11-29 12:04:01,Netherlands,abconlinemedia.com,Irrelevant prospect,FALSE,Later,,FALSE,
BFBS,-,N/A,-,,United Kingdom,about.bfbs.com,No feed generated,FALSE,,,FALSE,
actualdecluj.ro,-,N/A,-,,Romania,actualdecluj.ro,No feed generated,FALSE,,,FALSE,
Adafruit,https://adafruit.com/blog/feed,RSS,success,2025-11-29 11:37:48,United States,adafruit.com,Error adding feed to EBX,FALSE,Karen,,FALSE,Error adding content feed
A Day Magazine,https://adaymag.com/feed,OG,success,2025-11-29 12:04:05,Hong Kong,adaymag.com,Insufficient/Old Content,FALSE,Karen,,FALSE,Images not showing on newsletter
AEK1924.gr,https://aek1924.gr/feed,OG,success,2025-11-29 12:04:13,Greece,aek1924.gr,Sending,FALSE,Karen,"Nov 27, 2025 ",FALSE,
Αλέξης Φωτόπουλος,https://afotopoulos.gr/feed,OG,success,2025-11-29 12:04:28,Greece,afotopoulos.gr,Irrelevant prospect,FALSE,Karen,,FALSE,
Afyon Postası,https://afyonpostasi.com.tr/rss,N/A,failed,2025-11-29 12:04:29,Turkey,afyonpostasi.com.tr,No feed generated,FALSE,Later,,FALSE,
Αγγελίες εργασίας - Προγράμματα Ασεπ-Οαεδ,https://ageliesergasias.gr/feed,OG,success,2025-11-29 12:04:36,Greece,ageliesergasias.gr,Irrelevant prospect,FALSE,Karen,,FALSE,website hasn't been updated since January
Agriconnect,https://agriconnect.com/feed,RSS,success,2025-11-29 11:37:52,United Kingdom,agriconnect.com,Parent org,FALSE,Sam,,FALSE,
AgroKlub,-,N/A,-,,Croatia,agroklub.com,No feed generated,FALSE,,,FALSE,
Agromedia.ro,https://agromedia.ro/feed,OG,success,2025-11-29 12:04:41,Romania,agromedia.ro,Irrelevant prospect,FALSE,Karen,,FALSE,Not enough content
Ahewar,https://ahewar.org/rss,RSS,success,2025-11-29 12:04:42,Denmark,ahewar.org,Irrelevant prospect,FALSE,Karen,,FALSE,
Aixmi News,https://aixmi-news.gr/feed,OG,success,2025-11-29 12:04:47,Greece,aixmi-news.gr,Error adding feed to EBX,FALSE,Karen,,FALSE,An error occurred while validating the feed URL
AKİT TV,-,N/A,-,,Turkey,akittv.com.tr,No feed generated,FALSE,,,FALSE,
Akos.ba,https://akos.ba/feed,OG,success,2025-11-29 12:05:20,Bosnia and Herzegovina,akos.ba,Error adding feed to EBX,FALSE,Karen,,FALSE,An error occurred while validating the feed URL
Aktarr,-,N/A,-,,Sweden,aktarr.se,No feed generated,FALSE,,,FALSE,
Al Aan FM,-,N/A,-,,United Arab Emirates,alaan.fm,No feed generated,FALSE,,,FALSE,
Al-Arab Publishing House,https://alarab.co.uk/rss.xml,N/A,failed,2025-11-29 11:37:52,United Kingdom,alarab.co.uk,No feed generated,FALSE,Karen,,FALSE,
Aleph News,-,N/A,-,,Romania,alephnews.ro,No feed generated,FALSE,,,FALSE,
Alfahir,https://alfahir.hu/feed,OG,success,2025-11-29 12:05:22,Hungary,alfahir.hu,Sending,FALSE,Later,"Nov 27, 2025 ",FALSE,
Algoa FM,-,N/A,-,,South Africa,algoafm.co.za,No feed generated,FALSE,,,FALSE,
AllYou.gr,-,N/A,-,,Greece,allyou.gr,No feed generated,FALSE,,,FALSE,
Alo Media,-,N/A,-,,Serbia,alo.rs,No feed generated,FALSE,,,FALSE,
AM730,-,N/A,-,,Hong Kong,am730.com.hk,No feed generated,FALSE,,,FALSE,
AmaderShomoy.Com,-,N/A,-,,Bangladesh,amadershomoy.com,No feed generated,FALSE,,,FALSE,
Daily Amar Sangbad,-,N/A,-,,Bangladesh,amarsangbad.com,No feed generated,FALSE,,,FALSE,
Analytics Insight,https://analyticsinsight.net/feed,OG,success,2025-11-29 12:05:24,India,analyticsinsight.net,Sending,FALSE,Karen,"Nov 27, 2025 ",FALSE,
Analyzing America,https://www.analyzingamerica.org/feed/,OG,success,2025-11-29 11:37:55,United States,analyzingamerica.org,To Do,FALSE,,,FALSE,Newly discovered RSS feed
Aamoda Publications,-,N/A,-,,India,andhrajyothy.com,No feed generated,FALSE,,,FALSE,
Android.com.pl,https://android.com.pl/feed,OG,success,2025-11-29 12:05:26,Poland,android.com.pl,Sending,FALSE,Karen,"Nov 27, 2025 ",FALSE,
