Record ID,Company Name,Company Owner,City,Country,Has Newsletter,Website URL,LinkedIn Company Page,RSS Feed URL
4556169359,Cannock Radio Ltd,Rory Hunter,Cannock,United Kingdom,No,http://www.cannockchaseradio.co.uk,https://www.linkedin.com/company/cannockchaseradiofm,https://swelbyboy.github.io/prospect-rss-feeds/cannock-radio-ltd.xml
,SCVTV Media Center,,,,,http://scvtv.com,,https://swelbyboy.github.io/prospect-rss-feeds/scvtv-media-center.xml
,Wrestling Headlines,,,,,http://wrestlingheadlines.com,,https://swelbyboy.github.io/prospect-rss-feeds/wrestling-headlines.xml
,Fall River Reporter,,,,,http://fallriverreporter.com,,https://swelbyboy.github.io/prospect-rss-feeds/fall-river-reporter.xml
,Crossing Broad,,,,,http://crossingbroad.com,,https://swelbyboy.github.io/prospect-rss-feeds/crossing-broad.xml
,Saint Therese,,,,,http://sainttherse.com,,https://swelbyboy.github.io/prospect-rss-feeds/saint-therese.xml
,The Zimbabwean,,,,,http://thezimbabwean.co,,https://swelbyboy.github.io/prospect-rss-feeds/the-zimbabwean.xml
6914155036,Tabletop Gaming News,Rory Hunter,Vancouver,United States,No,http://www.tabletopgamingnews.com,https://www.linkedin.com/company/tabletop-gaming-news,https://swelbyboy.github.io/prospect-rss-feeds/tabletop-gaming-news.xml
,The Pinnacle List,,,,,http://thepinnaclelist.com,,https://swelbyboy.github.io/prospect-rss-feeds/the-pinnacle-list.xml
,The Blowick Publishing Company,,,,,http://otsnews.co.uk,,https://swelbyboy.github.io/prospect-rss-feeds/the-blowick-publishing-company.xml
6930399586,Time To Live Media,Rory Hunter,Lenox,United Kingdom,No,http://www.overclock3d.net,,https://swelbyboy.github.io/prospect-rss-feeds/time-to-live-media.xml
6948468534,TechEBlog,Rory Hunter,Eureka Springs,United States,No,http://www.techeblog.com,,https://swelbyboy.github.io/prospect-rss-feeds/techeblog.xml
6731462041,First State Update,Sander Lammers,New Castle,United States,No,http://www.firststateupdate.com,,https://swelbyboy.github.io/prospect-rss-feeds/first-state-update.xml
6720425281,Noticias en Línea Puerto Rico,Rory Hunter,,United States,No,http://www.nelpr.com,,https://swelbyboy.github.io/prospect-rss-feeds/noticias-en-línea-puerto-rico.xml
6814522964,Sports Mockery,Rory Hunter,Orland Park,United States,No,http://www.sportsmockery.com,https://www.linkedin.com/company/sports-mockery-inc-,https://swelbyboy.github.io/prospect-rss-feeds/sports-mockery.xml
,Tom and Lorenzo,,,,,http://tomandlorenzo.com,,https://swelbyboy.github.io/prospect-rss-feeds/tom-and-lorenzo.xml
6888068914,Turbo and Stance,Rory Hunter,,United States,No,http://www.turboandstance.net,,https://swelbyboy.github.io/prospect-rss-feeds/turbo-and-stance.xml
6816266646,Fab Art DIY,Rory Hunter,,United States,No,http://www.fabartdiy.com,,https://swelbyboy.github.io/prospect-rss-feeds/fab-art-diy.xml
6665822749,Uplifting Today,Rory Hunter,,United States,No,http://www.upliftingtoday.com,,https://swelbyboy.github.io/prospect-rss-feeds/uplifting-today.xml
6954602596,Go Nintendo,Rory Hunter,D,United States,No,http://www.gonintendo.com,,https://swelbyboy.github.io/prospect-rss-feeds/go-nintendo.xml
,Morty's TV,,,,,http://mortystv.com,,https://swelbyboy.github.io/prospect-rss-feeds/morty-s-tv.xml
7399459842,Reality TV World,Damian Domanski,Mansfield,United States,No,http://www.realitytvworld.com,,https://swelbyboy.github.io/prospect-rss-feeds/reality-tv-world.xml
6921150756,Steven Aitchison,Rory Hunter,Hamilton,United Kingdom,No,http://www.stevenaitchison.co.uk,http://linkedin.com/company/steven-aitchison,https://swelbyboy.github.io/prospect-rss-feeds/steven-aitchison.xml
7518572914,Totally Rad Choppers,Rory Hunter,Stateline,United States,No,http://www.totallyradchoppers.com,,https://swelbyboy.github.io/prospect-rss-feeds/totally-rad-choppers.xml
6936452535,Gate Drop,Rory Hunter,,United Kingdom,No,http://www.gatedrop.com,,https://swelbyboy.github.io/prospect-rss-feeds/gate-drop.xml
7443453715,Noticias Ya,Rory Hunter,,United States,No,http://www.politicaya.com,,https://swelbyboy.github.io/prospect-rss-feeds/noticias-ya.xml
,Covering Katy News,,,,,http://coveringkaty.com,,https://swelbyboy.github.io/prospect-rss-feeds/covering-katy-news.xml
6912722751,Decorating HQ,Sander Lammers,,United States,No,http://www.decorating-hq.com,,https://swelbyboy.github.io/prospect-rss-feeds/decorating-hq.xml
7521065897,Scioto Post,Sander Lammers,Circleville,United States,No,http://www.sciotopost.com,,https://swelbyboy.github.io/prospect-rss-feeds/scioto-post.xml
7392639272,Crossville News First,Rory Hunter,Crossville,United States,No,http://www.crossvillenews1st.com,,https://swelbyboy.github.io/prospect-rss-feeds/crossville-news-first.xml
